CustomerID,Name,City
C1,Customer_1,Hamburg
C2,Customer_2,Frankfurt
C3,Customer_3,Frankfurt
C4,Customer_4,Hamburg
C5,Customer_5,Berlin
C6,Customer_6,Munich
C7,Customer_7,Cologne
C8,Customer_8,Berlin
C9,Customer_9,Frankfurt
C10,Customer_10,Cologne
C11,Customer_11,Frankfurt
C12,Customer_12,Hamburg
C13,Customer_13,Berlin
C14,Customer_14,Frankfurt
C15,Customer_15,Frankfurt
C16,Customer_16,Hamburg
C17,Customer_17,Hamburg
C18,Customer_18,Munich
C19,Customer_19,Cologne
C20,Customer_20,Hamburg
C21,Customer_21,Munich
C22,Customer_22,Cologne
C23,Customer_23,Cologne
C24,Customer_24,Munich
C25,Customer_25,Hamburg
C26,Customer_26,Hamburg
C27,Customer_27,Cologne
C28,Customer_28,Berlin
C29,Customer_29,Frankfurt
C30,Customer_30,Munich
C31,Customer_31,Berlin
C32,Customer_32,Berlin
C33,Customer_33,Berlin
C34,Customer_34,Frankfurt
C35,Customer_35,Frankfurt
C36,Customer_36,Cologne
C37,Customer_37,Munich
C38,Customer_38,Munich
C39,Customer_39,Hamburg
C40,Customer_40,Frankfurt
C41,Customer_41,Frankfurt
C42,Customer_42,Cologne
C43,Customer_43,Hamburg
C44,Customer_44,Munich
C45,Customer_45,Hamburg
C46,Customer_46,Hamburg
C47,Customer_47,Hamburg
C48,Customer_48,Munich
C49,Customer_49,Frankfurt
C50,Customer_50,Munich
C51,Customer_51,Cologne
C52,Customer_52,Cologne
C53,Customer_53,Cologne
C54,Customer_54,Frankfurt
C55,Customer_55,Munich
C56,Customer_56,Frankfurt
C57,Customer_57,Berlin
C58,Customer_58,Hamburg
C59,Customer_59,Munich
C60,Customer_60,Munich
C61,Customer_61,Cologne
C62,Customer_62,Munich
C63,Customer_63,Hamburg
C64,Customer_64,Munich
C65,Customer_65,Cologne
C66,Customer_66,Cologne
C67,Customer_67,Hamburg
C68,Customer_68,Frankfurt
C69,Customer_69,Berlin
C70,Customer_70,Frankfurt
C71,Customer_71,Cologne
C72,Customer_72,Frankfurt
C73,Customer_73,Munich
C74,Customer_74,Hamburg
C75,Customer_75,Munich
C76,Customer_76,Frankfurt
C77,Customer_77,Cologne
C78,Customer_78,Berlin
C79,Customer_79,Berlin
C80,Customer_80,Hamburg
C81,Customer_81,Berlin
C82,Customer_82,Berlin
C83,Customer_83,Hamburg
C84,Customer_84,Hamburg
C85,Customer_85,Berlin
C86,Customer_86,Hamburg
C87,Customer_87,Frankfurt
C88,Customer_88,Berlin
C89,Customer_89,Hamburg
C90,Customer_90,Munich
C91,Customer_91,Berlin
C92,Customer_92,Cologne
C93,Customer_93,Munich
C94,Customer_94,Hamburg
C95,Customer_95,Hamburg
C96,Customer_96,Hamburg
C97,Customer_97,Munich
C98,Customer_98,Cologne
C99,Customer_99,Frankfurt
C100,Customer_100,Berlin
C101,Customer_101,Frankfurt
C102,Customer_102,Berlin
C103,Customer_103,Cologne
C104,Customer_104,Berlin
C105,Customer_105,Hamburg
C106,Customer_106,Berlin
C107,Customer_107,Munich
C108,Customer_108,Munich
C109,Customer_109,Frankfurt
C110,Customer_110,Berlin
C111,Customer_111,Frankfurt
C112,Customer_112,Berlin
C113,Customer_113,Munich
C114,Customer_114,Cologne
C115,Customer_115,Berlin
C116,Customer_116,Berlin
C117,Customer_117,Frankfurt
C118,Customer_118,Hamburg
C119,Customer_119,Munich
C120,Customer_120,Munich
C121,Customer_121,Munich
C122,Customer_122,Frankfurt
C123,Customer_123,Cologne
C124,Customer_124,Cologne
C125,Customer_125,Munich
C126,Customer_126,Cologne
C127,Customer_127,Hamburg
C128,Customer_128,Munich
C129,Customer_129,Munich
C130,Customer_130,Frankfurt
C131,Customer_131,Hamburg
C132,Customer_132,Hamburg
C133,Customer_133,Hamburg
C134,Customer_134,Berlin
C135,Customer_135,Hamburg
C136,Customer_136,Frankfurt
C137,Customer_137,Frankfurt
C138,Customer_138,Cologne
C139,Customer_139,Hamburg
C140,Customer_140,Frankfurt
C141,Customer_141,Cologne
C142,Customer_142,Cologne
C143,Customer_143,Frankfurt
C144,Customer_144,Munich
C145,Customer_145,Hamburg
C146,Customer_146,Frankfurt
C147,Customer_147,Frankfurt
C148,Customer_148,Cologne
C149,Customer_149,Hamburg
C150,Customer_150,Cologne
C151,Customer_151,Hamburg
C152,Customer_152,Hamburg
C153,Customer_153,Cologne
C154,Customer_154,Berlin
C155,Customer_155,Cologne
C156,Customer_156,Frankfurt
C157,Customer_157,Munich
C158,Customer_158,Cologne
C159,Customer_159,Frankfurt
C160,Customer_160,Berlin
C161,Customer_161,Frankfurt
C162,Customer_162,Hamburg
C163,Customer_163,Munich
C164,Customer_164,Munich
C165,Customer_165,Frankfurt
C166,Customer_166,Berlin
C167,Customer_167,Frankfurt
C168,Customer_168,Cologne
C169,Customer_169,Frankfurt
C170,Customer_170,Berlin
C171,Customer_171,Berlin
C172,Customer_172,Berlin
C173,Customer_173,Cologne
C174,Customer_174,Berlin
C175,Customer_175,Hamburg
C176,Customer_176,Frankfurt
C177,Customer_177,Frankfurt
C178,Customer_178,Frankfurt
C179,Customer_179,Frankfurt
C180,Customer_180,Cologne
C181,Customer_181,Berlin
C182,Customer_182,Hamburg
C183,Customer_183,Cologne
C184,Customer_184,Cologne
C185,Customer_185,Cologne
C186,Customer_186,Frankfurt
C187,Customer_187,Hamburg
C188,Customer_188,Cologne
C189,Customer_189,Munich
C190,Customer_190,Berlin
C191,Customer_191,Berlin
C192,Customer_192,Frankfurt
C193,Customer_193,Berlin
C194,Customer_194,Munich
C195,Customer_195,Frankfurt
C196,Customer_196,Cologne
C197,Customer_197,Cologne
C198,Customer_198,Munich
C199,Customer_199,Munich
C200,Customer_200,Hamburg
