Date,Sales,Demand_Index
2022-01-01,1050.6778010065816,1.1826514768494907
2022-01-02,855.4132199652762,1.1491261784792026
2022-01-03,1086.459662387961,1.1887949237186457
2022-01-04,1344.356770791529,1.2330737041403506
2022-01-05,812.5331133651144,1.1417640221667065
2022-01-06,807.9084154982862,1.1409700001529288
2022-01-07,1347.32524323465,1.2335833660761142
2022-01-08,1099.2476745336671,1.1909905186415004
2022-01-09,723.6771873994866,1.1265082015049153
2022-01-10,1022.8385690691898,1.1778717131456817
2022-01-11,716.6475071566744,1.1253012640955233
2022-01-12,711.6097397287671,1.1244363214866793
2022-01-13,919.6291595799329,1.16015151919501
2022-01-14,268.8265316697358,1.0484141413023873
2022-01-15,321.1660327727285,1.057400396677901
2022-01-16,665.8488696004059,1.1165795621268608
2022-01-17,526.6448057299184,1.092679386525493
2022-01-18,920.7949025626547,1.1603516675327699
2022-01-19,550.209848446826,1.0967253076238297
2022-01-20,395.0943755705886,1.0700932759348665
2022-01-21,1254.7227958991334,1.217684298973487
2022-01-22,743.614414540196,1.1299312569561604
2022-01-23,828.0035389397045,1.1444201650807853
2022-01-24,376.79917777105726,1.066952143212783
2022-01-25,637.4702815669953,1.1117071954842574
2022-01-26,830.7083516799653,1.144884558846769
2022-01-27,448.8670641106194,1.0793255976281475
2022-01-28,903.6972425083391,1.1574161420437237
2022-01-29,607.7100907492725,1.1065976191780977
2022-01-30,697.4005915030959,1.1219967293634538
2022-01-31,601.4988788225287,1.105531205945474
2022-02-01,1334.8935323783344,1.231448945110015
2022-02-02,772.4591050090614,1.1348836494956078
2022-02-03,456.5940530752205,1.0806522571234882
2022-02-04,1018.1725818193769,1.177070602089556
2022-02-05,402.76232944925124,1.0714097995988143
2022-02-06,829.3871507732513,1.1446577196813226
2022-02-07,176.64777476336758,1.0325878183092043
2022-02-08,364.02355695259445,1.064758675777365
2022-02-09,819.5798177901232,1.1429738824860527
2022-02-10,980.2166747762901,1.1705538897306196
2022-02-11,808.3572463153506,1.14104706065709
2022-02-12,720.6387409264664,1.1259865256124062
2022-02-13,663.5065437335172,1.1161774043307613
2022-02-14,308.9049707741197,1.0552952746959836
2022-02-15,535.253199763468,1.0941573759126348
2022-02-16,611.8821586831103,1.107313928411227
2022-02-17,1066.201636906038,1.1853167898704455
2022-02-18,851.2668677490495,1.1484142844200957
2022-02-19,218.51232315617847,1.0397756117560326
2022-02-20,844.0204332902617,1.1471701321214245
2022-02-21,630.7705837513508,1.1105569133027045
2022-02-22,542.8490764930091,1.095461524531825
2022-02-23,929.190547220879,1.1617931296283373
