2024/02/22 10:57:50,17.75,68.8
2024/02/22 11:07:50,19.25,60.2
2024/02/22 11:17:50,18.81,62.8
2024/02/22 11:27:50,19.06,63.3
2024/02/22 11:37:50,19.56,62.8
2024/02/22 11:47:50,19.75,62.8
2024/02/22 11:57:50,20.06,62.6
2024/02/22 12:07:50,20.31,61.7
2024/02/22 12:17:50,20.38,61.8
2024/02/22 12:27:50,20.50,61.8
2024/02/22 12:37:50,20.44,61.7
2024/02/22 12:47:50,20.38,62.1
2024/02/22 12:57:50,20.25,62.3
2024/02/22 13:07:50,20.13,63.6
2024/02/22 13:17:50,20.06,64.7
2024/02/22 13:27:50,20.00,65.4
2024/02/22 13:37:50,20.00,65.8
2024/02/22 13:47:50,20.06,65.9
2024/02/22 13:57:50,20.13,66.1
2024/02/22 14:07:50,20.13,66.3
2024/02/22 14:17:50,20.06,66.8
2024/02/22 14:27:50,20.06,66.8
2024/02/22 14:37:50,20.19,68.3
2024/02/22 14:47:50,20.00,67.8
2024/02/22 14:57:50,19.94,68.3
2024/02/22 15:07:50,19.88,68.3
2024/02/22 15:17:50,19.81,68.1
2024/02/22 15:27:50,19.75,68.7
2024/02/22 15:37:50,19.81,71.4
2024/02/22 15:47:50,20.00,70.8
2024/02/22 15:57:50,20.13,70.3
2024/02/22 16:07:50,20.31,70.9
2024/02/22 16:17:50,20.19,70.9
2024/02/22 16:27:50,19.50,69.3
2024/02/22 16:37:50,20.00,71.4
2024/02/22 16:47:50,20.31,70.4
2024/02/22 16:57:50,20.88,69.3
2024/02/22 17:07:50,20.94,69.4
2024/02/22 17:17:50,20.69,70.7
2024/02/22 17:27:50,20.50,70.8
2024/02/22 17:37:50,20.31,70.6
2024/02/22 17:47:50,20.13,70.6
2024/02/22 17:57:50,20.00,70.7
2024/02/22 18:07:50,19.94,70.9
2024/02/22 18:17:50,19.88,70.8
2024/02/22 18:27:50,19.88,70.8
2024/02/22 18:37:50,19.81,70.6
2024/02/22 18:47:50,19.81,70.6
2024/02/22 18:57:50,19.75,70.6
2024/02/22 19:07:50,19.75,70.6
2024/02/22 19:17:50,19.69,70.6
